id,name,type,source
7082_12551_5340,alopecia areata,disease,MONDO_grouped
18056_6572_16767_43923_16769_16770,lichen planus,disease,MONDO_grouped
5983,tinea favosa,disease,MONDO
19476,primary cutaneous peripheral T-cell lymphoma not otherwise specified,disease,MONDO
15810,primary cutaneous CD4+ small/medium-sized pleomorphic T-cell lymphoma,disease,MONDO
15811,primary cutaneous aggressive epidermotropic CD8+ T-cell lymphoma,disease,MONDO
15812,primary cutaneous gamma/delta-positive T-cell lymphoma,disease,MONDO
18513,squamous cell carcinoma of colon,disease,MONDO
5898,paronychia (disease),disease,MONDO
6522,acquired keratosis,disease,MONDO
6383,"primary cutaneous diffuse large B-cell lymphoma, Leg type",disease,MONDO
43653,herpes labialis,disease,MONDO
8054_16367_1907,dermatomyositis,disease,MONDO_grouped
4592,impetigo,disease,MONDO
18182,bullous impetigo,disease,MONDO
5714_5821_333,congenital syphilis,disease,MONDO_grouped
5822_40923_40922,latent syphilis,disease,MONDO_grouped
7039_7245_18975_21061_8075,neurofibromatosis,disease,MONDO_grouped
12521,herpes simplex encephalitis,disease,MONDO
5770,genital herpes,disease,MONDO
6598,phototoxic dermatitis,disease,MONDO
4525,scabies,disease,MONDO
1951,Norwegian scabies,disease,MONDO
11026_11218_14011_33091_11680_14009_9441_15018_12847_11485_33092_9439_14010_13495_9443_17265,autosomal recessive congenital ichthyosis,disease,MONDO_grouped
19269,ichthyosis (disease),disease,MONDO
15947_17262_17263,inherited ichthyosis,disease,MONDO_grouped
7417,Darier disease,disease,MONDO
23297,guttate psoriasis,disease,MONDO
22205,pustular psoriasis,disease,MONDO
17778,lamellar ichthyosis,disease,MONDO
15085,bathing suit ichthyosis,disease,MONDO
8273,actinic prurigo,disease,MONDO
20576,cutaneous vasculitis,disease,MONDO
2898,skin cancer,disease,MONDO
16266,squamous cell carcinoma of the corpus uteri,disease,MONDO
21948,cutaneous tuberculosis,disease,MONDO
15573,subacute cutaneous lupus erythematosus,disease,MONDO
4907,alopecia,disease,MONDO
2154,trichomoniasis,disease,MONDO
8661,vitiligo,disease,MONDO
254,cutaneous mycosis,disease,MONDO
6559,hidradenitis suppurativa,disease,MONDO
2260,hidradenitis,disease,MONDO
19509,cutaneous leukocytoclastic angiitis,disease,MONDO
1290,allergic cutaneous vasculitis,disease,MONDO
10150_4958_5096_6082_500_514,squamous cell carcinoma,disease,MONDO_grouped
242,tinea barbae,disease,MONDO
536,pharyngeal squamous cell carcinoma,disease,MONDO
5595,laryngeal squamous cell carcinoma,disease,MONDO
41751,multibacillary leprosy,disease,MONDO
19210,cutaneous neuroendocrine carcinoma,disease,MONDO
18500,cutaneous larva migrans,disease,MONDO
4712,herpes simplex dermatitis,disease,MONDO
43106,ichthyosis linearis circumflexa,disease,MONDO
41752,paucibacillary leprosy,disease,MONDO
19810,toxic epidermal necrolysis,disease,MONDO
18352,squamous cell carcinoma of penis,disease,MONDO
6526,allergic urticaria,disease,MONDO
11870,annular epidermolytic ichthyosis,disease,MONDO
7447,autosomal dominant vibratory urticaria,disease,MONDO
18855_21036,keratosis pilaris,disease,MONDO_grouped
11881_13034,keratosis palmoplantaris striata,disease,MONDO_grouped
12500_13739_19557,chilblain lupus,disease,MONDO_grouped
10032,Sjogren-Larsson-like ichthyosis without CNS or eye involvement,disease,MONDO
10229,"alopecia, congenital",disease,MONDO
24522_54765_13502_15301,primary cutaneous amyloidosis,disease,MONDO_grouped
8121,"onychogryposis, pedal, with keratosis plantaris and coarse hair",disease,MONDO
12258,epidermolysis bullosa simplex with circinate migratory erythema,disease,MONDO
10652,X-linked intellectual disability-seizures-psoriasis syndrome,disease,MONDO
18360,neonatal lupus erythematosus,disease,MONDO
19560,lupus erythematosus tumidus,disease,MONDO
9444,ichthyosis-alopecia-eclabion-ectropion-intellectual disability syndrome,disease,MONDO
8109,ocular cicatricial pemphigoid,disease,MONDO
7965,"melanoma, malignant familial intraocular",disease,MONDO
7084,familial focal alopecia,disease,MONDO
7782,"hyperthermia, cutaneous, with headaches and nausea",disease,MONDO
7314,"chemodectoma, intraabdominal, with cutaneous angiolipomas",disease,MONDO
8160,osteosclerosis with ichthyosis and fractures,disease,MONDO
7967,melanoma and neural system tumor syndrome,disease,MONDO
9420,primary hypergonadotropic hypogonadism-partial alopecia syndrome,disease,MONDO
7809,ichthyosis hystrix gravior,disease,MONDO
12446,seborrhea-like dermatitis with psoriasiform elements,disease,MONDO
13806,familial cutaneous telangiectasia and oropharyngeal predisposition cancer syndrome,disease,MONDO
9902,cutaneous porphyria,disease,MONDO
8778,"amyloidosis, cutaneous bullous",disease,MONDO
8757_19080,alopecia universalis,disease,MONDO_grouped
14218,severe dermatitis-multiple allergies-metabolic wasting syndrome,disease,MONDO
9085,deafness-vitiligo-achalasia syndrome,disease,MONDO
13176,ichthyosis-short stature-brachydactyly-microspherophakia syndrome,disease,MONDO
8634,"urticaria, familial localized heat",disease,MONDO
9848,dissecting cellulitis of the scalp,disease,MONDO
7857,keratosis palmaris et plantaris-clinodactyly syndrome,disease,MONDO
9446,ichthyosis-intellectual disability-dwarfism-renal impairment syndrome,disease,MONDO
9518_11860_12358_12595_13185_13257,"leprosy, susceptibility to",disease,MONDO_grouped
13398_7728_13397_24516,familial acne inversa,disease,MONDO_grouped
9051,cutaneous photosensitivity-lethal colitis syndrome,disease,MONDO
11169,keratosis linearis-ichthyosis congenita-sclerosing keratoderma syndrome,disease,MONDO
14368_14056_12183_7963_13133_11954_13510,"melanoma, cutaneous malignant, susceptibility to",disease,MONDO_grouped
14680_13075_24563_13921_13920,"herpes simplex encephalitis, susceptibility to",disease,MONDO_grouped
9792,ichthyosis-oral and digital anomalies syndrome,disease,MONDO
7850,autosomal dominant keratitis-ichthyosis-deafness syndrome,disease,MONDO
13743,autosomal systemic lupus erythematosus type 16,disease,MONDO
7184_5339_10410_12899,androgenetic alopecia,disease,MONDO_grouped
7966,susceptibility to uveal melanoma,disease,MONDO
8418,"scleroderma, familial progressive",disease,MONDO
11713,melanoma-pancreatic cancer syndrome,disease,MONDO
10622_17264,recessive X-linked ichthyosis,disease,MONDO_grouped
11462,pyogenic arthritis-pyoderma gangrenosum-acne syndrome,disease,MONDO
7811,ichthyosis-cheek-eyebrow syndrome,disease,MONDO
11245,"ichthyosis, hystrix-like, with deafness",disease,MONDO
7083_8923,palmoplantar keratoderma and congenital alopecia,disease,MONDO_grouped
10189,"vitiligo, progressive, with intellectual disability and urethral duplication",disease,MONDO
9445,ichthyosis-hepatosplenomegaly-cerebellar degeneration syndrome,disease,MONDO
9773_17134,odonto-onycho dysplasia-alopecia,disease,MONDO_grouped
10982,ichthyosis-intellectual disability syndrome with large keratohyalin granules in the skin,disease,MONDO
8562,thumb deformity-alopecia-pigmentation anomaly syndrome,disease,MONDO
54754,"encephalopathy, acute, infection-induced (herpes-specific), susceptibility to, 8",disease,MONDO
11874,neonatal ichthyosis-sclerosing cholangitis syndrome,disease,MONDO
8924,congenital cataract-ichthyosis syndrome,disease,MONDO
8251,pityriasis rubra pilaris,disease,MONDO
10623,ichthyosis and male hypogonadism,disease,MONDO
13626,"psoriasis 14, pustular",disease,MONDO
7569,"erythema nodosum, familial",disease,MONDO
13759,MITF-related melanoma and renal cell carcinoma predisposition syndrome,disease,MONDO
9195,erythema of acral regions,disease,MONDO
7271,familial cutaneous collagenoma,disease,MONDO
11269,psoriasis 2,disease,MONDO
9328,"hemangiomatosis, cutaneous, with associated features",disease,MONDO
14793,microcephaly-congenital cataract-psoriasiform dermatitis syndrome,disease,MONDO
10638,keratosis follicularis-dwarfism-cerebral atrophy syndrome,disease,MONDO
33642,neurodevelopmental disorder with alopecia and brain abnormalities,disease,MONDO
11132,"T-cell immunodeficiency, congenital alopecia, and nail dystrophy",disease,MONDO
21035_13492_12487_30009,alopecia-intellectual disability syndrome,disease,MONDO_grouped
7810,autosomal dominant ichthyosis vulgaris,disease,MONDO
9088,"deafness, neural, with atypical atopic dermatitis",disease,MONDO
9447,"ichthyosis, split hairs, and amino aciduria",disease,MONDO
22113,central centrifugal cicatricial alopecia,disease,MONDO
7902,"lichen planus, familial",disease,MONDO
7854,keratolytic winter erythema,disease,MONDO
7855,"keratosis, familial actinic",disease,MONDO
7085,alopecia-epilepsy-pyorrhea-intellectual disability syndrome,disease,MONDO
13268,frontonasal dysplasia with alopecia and genital anomaly,disease,MONDO
7812,"ichthyosis, lamellar, autosomal dominant",disease,MONDO
11019,alopecia-intellectual disability-hypergonadotropic hypogonadism syndrome,disease,MONDO
7187,nevoid basal cell carcinoma syndrome,disease,MONDO
9513,laryngo-onycho-cutaneous syndrome,disease,MONDO
8219,pemphigus vulgaris,disease,MONDO
7128,annular erythema,disease,MONDO
14494,"psoriasis 15, pustular, susceptibility to",disease,MONDO
7899,lichen sclerosus et atrophicus,disease,MONDO
7813,ichthyosis bullosa of Siemens,disease,MONDO
8632,"urticaria, aquagenic",disease,MONDO
12530,palmoplantar keratoderma-XX sex reversal-predisposition to squamous cell carcinoma syndrome,disease,MONDO
7570,erythema palmare hereditarium,disease,MONDO
8754,alopecia - contractures - dwarfism - intellectual disability syndrome,disease,MONDO
10842,multiple cutaneous and mucosal venous malformations,disease,MONDO
11024,"dermatitis herpetiformis, familial",disease,MONDO
8334_13554_11084_11387_11434_11542_11573_11926_12542_12896_12959_13057,psoriasis susceptibility to,disease,MONDO_grouped
54697,immunodeficiency 11b with atopic dermatitis,disease,MONDO
12369_12835_10433_11138_11520_11560_11807_11942_11943_11944_12036_12361_12403_12404_12584_12834_12836_12884_13152,"systemic lupus erythematosus, susceptibility to",disease,MONDO_grouped
13760,congenital ichthyosis-intellectual disability-spastic quadriplegia syndrome,disease,MONDO
7808,ichthyosis hystrix of Curth-Macklin,disease,MONDO
12387,osteosclerosis-ichthyosis-premature ovarian failure syndrome,disease,MONDO
10637,"keratosis follicularis spinulosa decalvans, X-linked",disease,MONDO
13018,"keratosis follicularis spinulosa decalvans, autosomal dominant",disease,MONDO
8321,"pruritus, hereditary localized",disease,MONDO
11684,vitiligo-associated multiple autoimmune disease susceptibility 1,disease,MONDO
16474,drug-induced lupus erythematosus,disease,MONDO
18103,Quinquaud's folliculitis decalvans,disease,MONDO
19314_19023_2726,cutaneous mastocytosis,disease,MONDO_grouped
19315_17243,diffuse cutaneous mastocytosis,disease,MONDO_grouped
19316,maculopapular cutaneous mastocytosis,disease,MONDO
16358,limited cutaneous systemic sclerosis,disease,MONDO
19945_6599,urticaria,disease,MONDO_grouped
18025,chronic actinic dermatitis,disease,MONDO
17837,multiple sclerosis-ichthyosis-factor VIII deficiency syndrome,disease,MONDO
18873,anterior cutaneous nerve entrapment syndrome,disease,MONDO
15428,choroidal atrophy-alopecia syndrome,disease,MONDO
16356,diffuse cutaneous systemic sclerosis,disease,MONDO
8756,alopecia - intellectual disability syndrome,disease,MONDO
17381_42971,congenital herpes virus infection,disease,MONDO_grouped
17275,spastic paraplegia-facial-cutaneous lesions syndrome,disease,MONDO
5580,esophageal squamous cell carcinoma,disease,MONDO
19323,pemphigus erythematosus,disease,MONDO
19324,pemphigus foliaceus,disease,MONDO
16775,lichen planus pemphigoides,disease,MONDO
19526,erythema elevatum diutinum,disease,MONDO
18856,lichen amyloidosis,disease,MONDO
6558,pemphigoid gestationis,disease,MONDO
19436,psoriasis-related juvenile idiopathic arthritis,disease,MONDO
12508,agammaglobulinemia-microcephaly-craniosynostosis-severe dermatitis syndrome,disease,MONDO
12089,ichthyosis prematurity syndrome,disease,MONDO
17614,X-linked intellectual disability-hypogonadism-ichthyosis-obesity-short stature syndrome,disease,MONDO
34104,global developmental delay-alopecia-macrocephaly-facial dysmorphism-structural brain anomalies syndrome,disease,MONDO
18974,paraneoplastic pemphigus,disease,MONDO
4132,anal canal squamous cell carcinoma,disease,MONDO
15082,alopecia antibody deficiency,disease,MONDO
17772,oral erosive lichen,disease,MONDO
6486,uveal melanoma,disease,MONDO
18961,familial melanoma,disease,MONDO
19199,interstitial granulomatous dermatitis with arthritis,disease,MONDO
16574,hypo- and hypermelanotic cutaneous macules-retarded growth-intellectual disability syndrome,disease,MONDO
17242,cutaneous collagenous vasculopathy,disease,MONDO
17244,pseudoxanthomatous diffuse cutaneous mastocytosis,disease,MONDO
18887,obsolete rare cutaneous lupus erythematosus,disease,MONDO
18879,lichen planopilaris,disease,MONDO
18683,acquired ichthyosis,disease,MONDO
16417,congenital ichthyosis-microcephalus-tetraplegia syndrome,disease,MONDO
3362,cutaneous leiomyosarcoma (disease),disease,MONDO
2205,vulvar melanoma (disease),disease,MONDO
5230,cellulitis (disease),disease,MONDO
6525,allergic contact dermatitis,disease,MONDO
6060,nasopharyngeal squamous cell carcinoma,disease,MONDO
6590,palmoplantar keratosis,disease,MONDO
17269,X-linked ichthyosis syndrome,disease,MONDO
44704,oropharynx squamous cell carcinoma,disease,MONDO
18537,squamous cell carcinoma of gallbladder and extrahepatic biliary tract,disease,MONDO
18453,familial atypical multiple mole melanoma syndrome,disease,MONDO
2191,syringoma,disease,MONDO
6717,cutaneous fibrous histiocytoma,disease,MONDO
5556,lupus nephritis,disease,MONDO
6838,lupus vulgaris,disease,MONDO
6564,irritant dermatitis,disease,MONDO
16164,herpetiform pemphigus,disease,MONDO
18745,superficial pemphigus,disease,MONDO
6566,keratosis,disease,MONDO
6832,limited scleroderma,disease,MONDO
5019,diffuse scleroderma,disease,MONDO
6491,vulvar lichen sclerosus,disease,MONDO
43294,linear scleroderma,disease,MONDO
17339,exfoliative ichthyosis,disease,MONDO
43985,central nervous system lupus,disease,MONDO
15554,typical urticaria pigmentosa,disease,MONDO
15555,plaque-form urticaria pigmentosa,disease,MONDO
15556,nodular urticaria pigmentosa,disease,MONDO
24304,ichthyosis vulgaris,disease,MONDO
11596_11597_11598_11608_11609_13107_13294_13295,atopic dermatitis,disease,MONDO_grouped
22417,alopecia congenita keratosis palmoplantaris,disease,MONDO
4064,iris melanoma,disease,MONDO
3878,malignant choroid melanoma,disease,MONDO
16776,frontal fibrosing alopecia,disease,MONDO
2971_5208,amelanotic skin melanoma,disease,MONDO_grouped
1470,anal margin squamous cell carcinoma,disease,MONDO
21427,squamous cell carcinoma of lip,disease,MONDO
44638,hypopharynx squamous cell carcinoma,disease,MONDO
544,mucosal melanoma,disease,MONDO
136,keratosis follicularis spinulosa decalvans,disease,MONDO
17598,primary cutaneous anaplastic large cell lymphoma,disease,MONDO
18897,primary cutaneous CD30+ T-cell lymphoproliferative disease,disease,MONDO
11556_13876_13101_13102_13104_13105_13106,"basal cell carcinoma, susceptibility to",disease,MONDO_grouped
3865,acral lentiginous melanoma (disease),disease,MONDO
6749,mixed epithelioid and spindle cell melanoma,disease,MONDO
6596,photoallergic dermatitis,disease,MONDO
7101,familial primary localized cutaneous amyloidosis,disease,MONDO
4591,impetigo herpetiformis,disease,MONDO
16597,generalized pustular psoriasis,disease,MONDO
6618,vibratory urticaria,disease,MONDO
1698,tinea profunda,disease,MONDO
18346,ferro-cerebro-cutaneous syndrome,disease,MONDO
21034,genetic alopecia,disease,MONDO
5,"alopecia, isolated",disease,MONDO
17273,autosomal ichthyosis syndrome with fatal disease course,disease,MONDO
17272,autosomal ichthyosis syndrome with prominent neurologics signs,disease,MONDO
245,tinea imbricata,disease,MONDO
363,gummatous syphilis,disease,MONDO
535,tonsil squamous cell carcinoma,disease,MONDO
543,ovarian melanoma,disease,MONDO
6320,non-cutaneous melanoma,disease,MONDO
18898,primary cutaneous lymphoma,disease,MONDO
687,diffuse alopecia areata,disease,MONDO
24255,genetic skin disease,disease,MONDO
6325,ocular melanoma,disease,MONDO
928,eyelid melanoma,disease,MONDO
929,balloon cell malignant melanoma,disease,MONDO
930,nodular malignant melanoma,disease,MONDO
993,prostate squamous cell carcinoma,disease,MONDO
45070,digestive system melanoma,disease,MONDO
1192,esophageal melanoma,disease,MONDO
1260,cercarial dermatitis,disease,MONDO
24610,parasitic skin disease,disease,MONDO
1287,endometriosis in cutaneous scar,disease,MONDO
1337,inflamed seborrheic keratosis,disease,MONDO
1391,indeterminate leprosy,disease,MONDO
1419,trachea squamous cell carcinoma,disease,MONDO
1651,scrotum squamous cell carcinoma,disease,MONDO
1652,scrotum melanoma,disease,MONDO
1740,cornea squamous cell carcinoma,disease,MONDO
16747,primary melanoma of the central nervous system,disease,MONDO
1893,spinal cord melanoma,disease,MONDO
1984,candidal paronychia,disease,MONDO
1995,sphenoid sinus squamous cell carcinoma,disease,MONDO
44705,paranasal sinus squamous cell carcinoma,disease,MONDO
2096,malignant conjunctival melanoma,disease,MONDO
2136,eczematous dermatitis of eyelid,disease,MONDO
2138,allergic contact dermatitis of eyelid,disease,MONDO
2141,cutaneous undifferentiated pleomorphic sarcoma,disease,MONDO
2167,rectum malignant melanoma,disease,MONDO
2237,carbuncle,disease,MONDO
2291,cutaneous granular cell tumor,disease,MONDO
2293,cutaneous ganglioneuroma,disease,MONDO
2299_2298,cutaneous glomangioma,disease,MONDO_grouped
2301,frontal sinus squamous cell carcinoma,disease,MONDO
2416,ethmoid sinus squamous cell carcinoma,disease,MONDO
2523,cutaneous mucinosis,disease,MONDO
2655,cutaneous Paget disease,disease,MONDO
24609,vulvar squamous cell carcinoma,disease,MONDO
2760,bladder squamous cell carcinoma,disease,MONDO
6143,cervical squamous cell carcinoma,disease,MONDO
2764,urethra squamous cell carcinoma,disease,MONDO
44787,nasal cavity and paranasal sinus squamous cell carcinoma,disease,MONDO
2831,non-keratinizing sinonasal squamous cell carcinoma,disease,MONDO
2935,penis basal cell carcinoma,disease,MONDO
2936,scrotum basal cell carcinoma,disease,MONDO
2937,nodular basal cell carcinoma,disease,MONDO
2938,metatypical basal cell carcinoma,disease,MONDO
2940,anal margin basal cell carcinoma,disease,MONDO
2942,sebaceous basal cell carcinoma,disease,MONDO
2943,external ear basal cell carcinoma,disease,MONDO
3501,external ear squamous cell carcinoma,disease,MONDO
2945,micronodular basal cell carcinoma,disease,MONDO
2948,skin fibroepithelial basal cell carcinoma,disease,MONDO
2949,morpheaform basal cell carcinoma,disease,MONDO
2950,skin clear cell basal cell carcinoma,disease,MONDO
2951,skin adenoid basal cell carcinoma,disease,MONDO
2952,follicular basal cell carcinoma,disease,MONDO
2953,skin infiltrative basal cell carcinoma,disease,MONDO
2955,vulva basal cell carcinoma,disease,MONDO
2957,sarcomatoid basal cell carcinoma,disease,MONDO
21663,sarcomatoid squamous cell carcinoma,disease,MONDO
2958,signet ring basal cell carcinoma,disease,MONDO
2973,epithelioid cell melanoma,disease,MONDO
2975,malignant breast melanoma,disease,MONDO
2987,spongiotic dermatitis,disease,MONDO
2988,cervix melanoma,disease,MONDO
3091,cutaneous mucoepidermoid carcinoma,disease,MONDO
3180,cutaneous adenocystic carcinoma,disease,MONDO
3486,basaloid squamous cell carcinoma,disease,MONDO
3487,pseudoglandular squamous cell carcinoma,disease,MONDO
3490,ampulla of vater squamous cell carcinoma,disease,MONDO
18509,squamous cell carcinoma of the small intestine,disease,MONDO
6203,extrahepatic bile duct squamous cell carcinoma,disease,MONDO
3492,lacrimal gland squamous cell carcinoma,disease,MONDO
3493,thymus squamous cell carcinoma,disease,MONDO
3494,ovarian squamous cell carcinoma,disease,MONDO
3497,renal pelvis squamous cell carcinoma,disease,MONDO
5056,keratinizing squamous cell carcinoma,disease,MONDO
3502,ureter squamous cell carcinoma,disease,MONDO
3503,fallopian tube squamous cell carcinoma,disease,MONDO
4053,bartholin gland squamous cell carcinoma,disease,MONDO
6198,endometrial squamous cell carcinoma,disease,MONDO
3600,cutaneous liposarcoma,disease,MONDO
3714,bladder urachal squamous cell carcinoma,disease,MONDO
6427,spindle cell melanoma,disease,MONDO
3744,spindle cell intraocular melanoma,disease,MONDO
3745,choroid spindle cell melanoma,disease,MONDO
3912,malignant ciliary body melanoma,disease,MONDO
3746,ciliary body spindle cell melanoma,disease,MONDO
4188,iris spindle cell melanoma,disease,MONDO
3761_3765,leptomeningeal melanoma,disease,MONDO_grouped
3764,pediatric leptomeningeal melanoma,disease,MONDO
42494,childhood malignant melanoma,disease,MONDO
3904,lung occult squamous cell carcinoma,disease,MONDO
3910,mixed cell uveal melanoma,disease,MONDO
3911,ciliary body mixed cell melanoma,disease,MONDO
3913,choroid mixed cell melanoma,disease,MONDO
3927,posterior uveal melanoma,disease,MONDO
6603,reactive cutaneous fibrous lesion,disease,MONDO
18515,squamous cell carcinoma of rectum,disease,MONDO
4062,intermediate cell type uveal melanoma,disease,MONDO
4063,intermediate cell type iris melanoma,disease,MONDO
4065,intermediate cell type choroid melanoma,disease,MONDO
4066,intermediate cell type ciliary body melanoma,disease,MONDO
4080,glottis squamous cell carcinoma,disease,MONDO
4085,choroid epithelioid cell melanoma,disease,MONDO
6200,epithelioid cell uveal melanoma,disease,MONDO
4086,ciliary body epithelioid cell melanoma,disease,MONDO
20656,human papillomavirus-related penile squamous cell carcinoma,disease,MONDO
4090,vulvar basaloid squamous cell carcinoma,disease,MONDO
4100,lung mixed small cell and squamous cell carcinoma,disease,MONDO
4199,vulvar keratinizing squamous cell carcinoma,disease,MONDO
4213,vulvar non-keratinizing squamous cell carcinoma,disease,MONDO
4239,cervical keratinizing squamous cell carcinoma,disease,MONDO
4291,subglottis squamous cell carcinoma,disease,MONDO
4293,supraglottis squamous cell carcinoma,disease,MONDO
4314,malignant cutaneous granular cell skin tumor,disease,MONDO
4364,choroid necrotic melanoma,disease,MONDO
4365,necrotic uveal melanoma,disease,MONDO
4394,maxillary sinus squamous cell carcinoma,disease,MONDO
4410,sarcomatoid penile squamous cell carcinoma,disease,MONDO
4413,cervical non-keratinizing squamous cell carcinoma,disease,MONDO
4430,penis mixed squamous cell carcinoma,disease,MONDO
4469,pseudovascular skin squamous cell carcinoma,disease,MONDO
4484,gallbladder melanoma,disease,MONDO
4550,malignant cornea melanoma,disease,MONDO
4552,microinvasive cervical squamous cell carcinoma,disease,MONDO
4561,retinal melanoma,disease,MONDO
4677,tinea nigra,disease,MONDO
4856,rosacea conjunctivitis,disease,MONDO
4911,cardiovascular syphilis,disease,MONDO
44710,lip and oral cavity squamous cell carcinoma,disease,MONDO
5125,borderline leprosy,disease,MONDO
5126,tuberculoid leprosy,disease,MONDO
5127,lepromatous leprosy,disease,MONDO
21208,endocrine alopecia,disease,MONDO
5481,contact dermatitis due to nickel,disease,MONDO
5483,chemotherapy-induced alopecia,disease,MONDO
5594,severe cutaneous adverse reaction,disease,MONDO
18521,squamous cell carcinoma of pancreas,disease,MONDO
5792,herpes simplex virus gingivostomatitis,disease,MONDO
5830,lumpy skin disease,disease,MONDO
5855,molluscum contagiosum,disease,MONDO
6230,gastric squamous cell carcinoma,disease,MONDO
6059,nasal cavity squamous cell carcinoma,disease,MONDO
6081,anal melanoma,disease,MONDO
6165,colorectal squamous cell carcinoma,disease,MONDO
6173,conjunctival squamous cell carcinoma,disease,MONDO
6220,gallbladder squamous cell carcinoma,disease,MONDO
6303,middle ear squamous cell carcinoma,disease,MONDO
6326,ocular melanoma with extraocular extension,disease,MONDO
44740,salivary gland squamous cell carcinoma,disease,MONDO
6358,parotid gland squamous cell carcinoma,disease,MONDO
15818,aggressive primary cutaneous B-cell lymphoma,disease,MONDO
6385,primary intraosseous squamous cell carcinoma,disease,MONDO
6470,tonsillar squamous cell carcinoma,disease,MONDO
6489,vaginal melanoma,disease,MONDO
6490,vaginal squamous cell carcinoma,disease,MONDO
6514,recalcitrant atopic dermatitis,disease,MONDO
6534,cholinergic urticaria,disease,MONDO
6551,alopecia mucinosa,disease,MONDO
21653,cutaneous focal mucinosis,disease,MONDO
6555,granulomatous dermatitis,disease,MONDO
6571,lichen nitidus,disease,MONDO
19337,autoimmune bullous skin disease,disease,MONDO
6601,pityriasis rosea,disease,MONDO
6616,toxicodendron dermatitis,disease,MONDO
6621,vulvar inverted follicular keratosis,disease,MONDO
6622,vulvar seborrheic keratosis,disease,MONDO
6881,orbital cellulitis,disease,MONDO
17266,keratinopathic ichthyosis,disease,MONDO
19299,unclassified genetic skin disorder,disease,MONDO
17274,autosomal ichthyosis syndrome with other associated signs,disease,MONDO
24462,familial cutaneous melanoma,disease,MONDO
7968,melanoma tumor antigen Gp90,disease,MONDO
8902,camptodactyly-ichthyosis syndrome,disease,MONDO
9442,ichthyosis congenita with biliary atresia,disease,MONDO
17271,autosomal ichthyosis syndrome with prominent hair abnormalities,disease,MONDO
10223,"ichthyosis, X-linked, without steroid sulfatase deficiency",disease,MONDO
11228,"creases, infra-auricular cutaneous, with tall stature and advanced bone age",disease,MONDO
11465,infundibulocystic basal cell carcinoma,disease,MONDO
