slug,title,letter,url,alt_titles
acne,Acne,A,https://dermnetnz.org/topics/acne,
acne-face-images,Acne affecting the face images,A,https://dermnetnz.org/topics/acne-face-images,Facial acne images
acne-agminata,Acne agminata,A,https://dermnetnz.org/topics/acne-agminata,Acne telangiectoides of Kaposi | Acnitis of Barthelemy | Dsseminated folliculitis | Facial idiopathic granulomas with regressive evolution | Lupus miliaris disseminatus faciei | Tuberculodermas of the face
acne-and-other-follicular-disorders,Acne and other follicular disorders,A,https://dermnetnz.org/topics/acne-and-other-follicular-disorders,
folliculitis-keloidalis,Acne cheloidalis nuchae,A,https://dermnetnz.org/topics/folliculitis-keloidalis,Acne keloidalis | Dermatitis papillaris capilliti | Folliculitis cheloidalis | Folliculitis keloidalis | Folliculitis keloidalis nuchae | Sycosis nuchae
acne-due-to-medicine,Acne due to a medicine,A,https://dermnetnz.org/topics/acne-due-to-medicine,Acneiform drug eruption | Drug-induced acne
rosacea,Acne erythematosa,A,https://dermnetnz.org/topics/rosacea,Acne rosacea | Rosacea
acne-excorie,Acne excorie,A,https://dermnetnz.org/topics/acne-excorie,Acne excoriee | Excoriated acne
acne-fulminans,Acne fulminans,A,https://dermnetnz.org/topics/acne-fulminans,
acne-in-children,Acne in children,A,https://dermnetnz.org/topics/acne-in-children,Juvenile acne
acne-in-pregnancy,Acne in pregnancy,A,https://dermnetnz.org/topics/acne-in-pregnancy,
hidradenitis-suppurativa,Acne inversa,A,https://dermnetnz.org/topics/hidradenitis-suppurativa,Apocrine acne | Apocrinitis | Hidradenitis axillaris | Hidradenitis suppurativa | Suppurative hidradenitis | Verneuil disease
acne-mimics-what-else-could-it-be,Acne mimics: what else could it be?,A,https://dermnetnz.org/topics/acne/acne-mimics-what-else-could-it-be,
comedo-naevus,Acne naevus,A,https://dermnetnz.org/topics/comedo-naevus,Acneiform naevus | Comedo naevus | Comedone naevus | Follicular keratotic naevus | Follicular naevus | Hair follicle naevus | Pilosebaceous naevoid disorder
infantile-acne,Acne neonatorum,A,https://dermnetnz.org/topics/infantile-acne,Childhood acne | Infantile acne | Neonatal acne | Prepubertal acne
acne-scarring,Acne scarring,A,https://dermnetnz.org/topics/acne-scarring,
acne-scars-how-to-get-rid-of-them,Acne scars and how to get rid of them,A,https://dermnetnz.org/topics/acne/acne-scars-how-to-get-rid-of-them,
acne-treatment,Acne treatment,A,https://dermnetnz.org/topics/acne-treatment,Treatment options for acne
acne-urticata,Acne urticata,A,https://dermnetnz.org/topics/acne-urticata,
acne-vulgaris,Acne vulgaris,A,https://dermnetnz.org/topics/acne-vulgaris,
follicular-eruptions-due-to-drugs,Acneiform drug eruptions,A,https://dermnetnz.org/topics/follicular-eruptions-due-to-drugs,Follicular drug eruptions | Follicular eruptions due to drugs | Papulopustular drug eruptions
addison-disease,Acquired adrenocortical insufficiency,A,https://dermnetnz.org/topics/addison-disease,Acquired hypocortisolism | Addison disease | Addison syndrome | Autoimmune adrenalitis | Primary adrenal insufficiency
acquired-blaschkoid-dermatitis,Acquired blaschkoid dermatitis,A,https://dermnetnz.org/topics/acquired-blaschkoid-dermatitis,Blaschkitis | Idiopathic dermatitis along the lines of Blaschko
