id,name,def,synonyms,xrefs,is_a,alt_ids,is_obsolete
DERMO:0000580,proteus syndrome,,,"SNOMEDCT_US_2015_03_01:394527003 ""proteus syndrome""|SNOMEDCT_US_2015_03_01:23150001 ""proteus syndrome""|DERMLEX:3422 ""proteus syndrome""|DOID:13482 ""proteus syndrome""",DERMO:0000567|DERMO:0003416,,False
DERMO:0000581,steatocystoma multiplex,,,"SNOMEDCT_US_2015_03_01:109433009 ""steatocystoma multiplex""|SNOMEDCT_US_2015_03_01:201323004 ""steatocystoma multiplex""|DERMLEX:2885 ""steatocystoma multiplex""|HP:0012035 ""steatocystoma multiplex""|ICD10:L72.2 ""steatocystoma multiplex""|OMIM:148069 ""steatocystoma multiplex""",DERMO:0000567|DERMO:0000820,,False
DERMO:0000582,tuberous sclerosis complex,,bourneville disease|epiloia|TS|tuberous sclerosis,"DERMLEX:2951 ""tuberous sclerosis""|DOID:13515 ""tuberous sclerosis complex""|ICD10:Q85.1 ""tuberous sclerosis complex""",DERMO:0000196|DERMO:0000567|DERMO:0003398|DERMO:0003401,DERMO:0000231,False
DERMO:0000583,inherited cutaneous cancer disorder,,,,DERMO:0003424,,False
DERMO:0000584,bazex-dupre-christol syndrome,,,"SNOMEDCT_US_2015_03_01:254820002 ""bazex-dupre-christol syndrome""|DERMLEX:4855 ""bazex syndrome""",DERMO:0000583,,False
DERMO:0000585,epidermodysplasia verruciformis,,,"SNOMEDCT_US_2015_03_01:19138001 ""epidermodysplasia verruciformis""|DERMLEX:610 ""epidermodysplasia verruciformis""|DOID:13777 ""epidermodysplasia verruciformis""|OMIM:605828 ""epidermodysplasia verruciformis""|OMIM:605829 ""epidermodysplasia verruciformis""",DERMO:0000583|DERMO:0002342,,False
DERMO:0000586,cutaneous malignant melanoma 1,,CMM1|familial atypical mole-malignant melanoma syndrome|FAMMM,,DERMO:0000583,,False
DERMO:0000587,gorlin syndrome,,nevoid basal cell carcinoma,"SNOMEDCT_US_2015_03_01:69408002 ""gorlin syndrome""|DERMLEX:2883 ""basal cell nevus syndrome""",DERMO:0000583,,False
DERMO:0000588,huriez syndrome,,HRZ|palmoplantar keratoderma with scleroatrophy|sclerotylosis,"SNOMEDCT_US_2015_03_01:239076000 ""huriez syndrome""|DERMLEX:3062 ""palmoplantar keratoderma with sclerodactyly""|OMIM:181600 ""huriez syndrome""",DERMO:0000583|DERMO:0003319,,False
DERMO:0000589,inherited extracutaneous cancer disorder,,,,DERMO:0003424,,False
DERMO:0000590,xeroderma pigmentosum type A,,XPA,,DERMO:0000384,,False
DERMO:0000591,xeroderma pigmentosum type B,,XPB,,DERMO:0000384,,False
DERMO:0000592,xeroderma pigmentosum type C,,XPC,,DERMO:0000384,,False
DERMO:0000593,xeroderma pigmentosum type D,,XPD,,DERMO:0000384,,False
DERMO:0000594,xeroderma pigmentosum type E,,XPE,,DERMO:0000384,,False
DERMO:0000595,xeroderma pigmentosum type F,,XPF,,DERMO:0000384,,False
DERMO:0000596,xeroderma pigmentosum type G,,XPG,,DERMO:0000384,,False
DERMO:0000597,xeroderma pigmentosum variant type,,XP variant,,DERMO:0000384,,False
DERMO:0000598,ataxia-telangiectasia,,AT|louis-bar syndrome,"DERMLEX:1412 ""ataxia-telangiectasia""|OMIM:607585 ""ataxia-telangiectasia""",DERMO:0000589|DERMO:0000644|DERMO:0000993|DERMO:0003287,,False
DERMO:0000599,birt-hogg-dube syndrome,,,"SNOMEDCT_US_2015_03_01:110985001 ""birt-hogg-dube syndrome""|DERMLEX:2878 ""multiple fibrofolliculoma""|DOID:0050676 ""birt-hogg-dube syndrome""|OMIM:607273 ""birt-hogg-dube syndrome""",DERMO:0000589,,False
DERMO:0000600,bloom syndrome,,congenital telangiectatic erythema,"SNOMEDCT_US_2015_03_01:4434006 ""bloom syndrome""|DERMLEX:3301 ""bloom syndrome""|DOID:2717 ""bloom syndrome""|OMIM:604610 ""bloom syndrome""",DERMO:0000589|DERMO:0002883,,False
DERMO:0000601,costello syndrome,,,"SNOMEDCT_US_2015_03_01:205803001 ""costello syndrome""|SNOMEDCT_US_2015_03_01:309776008 ""costello syndrome""|DERMLEX:3416 ""costello syndrome""|DOID:0050469 ""costello syndrome""|OMIM:190020 ""costello syndrome""",DERMO:0000589,,False
DERMO:0000602,cowden-like syndrome,,,,DERMO:0000589,,False
DERMO:0000604,"dyskeratosis congenita, x-linked",,DKCX|zinsser-cole-engman syndrome,"OMIM:300126 ""dyskeratosis congenita, x-linked""",DERMO:0000373,,False
DERMO:0000605,"dyskeratosis congenita, autosomal dominant 1",,"DKCA1|dyskeratosis congenita, scoggins type","OMIM:602322 ""dyskeratosis congenita, autosomal dominant 1""",DERMO:0000373,,False
DERMO:0000606,"dyskeratosis congenita, autosomal recessive 1",,DKCB1,"OMIM:606471 ""dyskeratosis congenita, autosomal recessive 1""",DERMO:0000373,,False
DERMO:0000607,gardner syndrome,,familial colorectal polyposis|familial polyposis of the colon|GS,"SNOMEDCT_US_2015_03_01:60876000 ""gardner syndrome""|DERMLEX:863 ""gardner syndrome""|OMIM:611731 ""gardner syndrome""",DERMO:0000589|DERMO:0001671,,False
DERMO:0000608,howel-evans syndrome,,non-epidermolytic palmoplantar keratoderma with carcinoma of the esophagus|TOC|tylosis with esophageal cancer,"OMIM:614404 ""howel-evans syndrome""",DERMO:0000589|DERMO:0003322,,False
DERMO:0000609,muir-torre syndrome,,"cutaneous sebaceous neoplasms and keratoacanthomas, with gastrointestinal and other carcinomas|MTS","DERMLEX:2920 ""muir-torre syndrome""|DOID:0050465 ""muir-torre syndrome""|OMIM:120436 ""muir-torre syndrome""|OMIM:609309 ""muir-torre syndrome""",DERMO:0000589|DERMO:0003425,,False
DERMO:0000610,familial adenomatous polyposis 2,,colorectal adenomatous polyposis|FAP2|MUTYH-associated polyposis,,DERMO:0000589,,False
DERMO:0000611,mismatch repair cancer syndrome,,childhood cancer syndrome|MMRCS|turcot syndrome,"OMIM:120436 ""mismatch repair cancer syndrome""|OMIM:600259 ""mismatch repair cancer syndrome""|OMIM:600678 ""mismatch repair cancer syndrome""|OMIM:609309 ""mismatch repair cancer syndrome""",DERMO:0000589,,False
DERMO:0000612,multiple endocrine neoplasia,,MEN,"SNOMEDCT_US_2015_03_01:46724008 ""multiple endocrine neoplasia""|DOID:3125 ""multiple endocrine neoplasia""",DERMO:0000589,,False
DERMO:0000613,multiple endocrine neoplasia 1,,MEN1|multiple endocrine adenomatosis|wermer syndrome,"DOID:10017 ""multiple endocrine neoplasia 1""|DOID:3125 ""multiple endocrine neoplasia 1""|OMIM:613733 ""multiple endocrine neoplasia 1""",DERMO:0000612,,False
DERMO:0000614,multiple endocrine neoplasia 2a,,<new synonym>pheochromocytoma and amyloid-producing medullary thyroid carcinoma|MEN2A|PT syndrome|sipple syndrome,"DOID:0050430 ""multiple endocrine neoplasia 2a""",DERMO:0000612,,False
DERMO:0000615,multiple endocrine neoplasia 2b,,MEN2B|MEN3|mucosal neuromata with endocrine tumors|multiple mucosal neuroma syndrome|wagenmann-froboese syndrome,"DOID:10016 ""multiple endocrine neoplasia 2b""",DERMO:0000612|DERMO:0001671,,False
DERMO:0000616,multiple endocrine neoplasia 4,,MEN4,,DERMO:0000612,,False
DERMO:0000617,PTEN hamartoma tumor syndrome,,PHTS,"OMIM:601728 ""pten hamartoma tumor syndrome""",DERMO:0000589,,False
DERMO:0000618,cowden disease,,CD|cowden syndrome|MHAM|multiple hamartoma syndrome,"DERMLEX:2873 ""cowden syndrome""|DOID:6457 ""cowden disease""",DERMO:0000617,,False
DERMO:0000619,bannayan-riley-ruvalcaba syndrome,,BRRS,"SNOMEDCT_US_2015_03_01:234138005 ""bannayan-riley-ruvalcaba syndrome""|DERMLEX:2981 ""macrocephal""|DOID:0050657 ""bannayan-riley-ruvalcaba syndrome""|OMIM:601728 ""bannayan-riley-ruvalcaba syndrome""",DERMO:0000617,,False
DERMO:0000620,rothmund-thomson syndrome,,,"SNOMEDCT_US_2015_03_01:69093006 ""rothmund-thomson syndrome""|SNOMEDCT_US_2015_03_01:205565002 ""rothmund-thomson syndrome""|SNOMEDCT_US_2015_03_01:205572001 ""rothmund-thomson syndrome""|DERMLEX:3305 ""rothmund-thomson syndrome""|DOID:2732 ""rothmund-thomson syndrome""|OMIM:603780 ""rothmund-thomson syndrome""",DERMO:0000589|DERMO:0000644|DERMO:0002883,,False
DERMO:0000621,non-cutaneous neoplastic or dysplastic disease,,,,DERMO:0000107,,False
DERMO:0000622,endocrine disease,systemic endocrine disease with cutaneous sequelae,,"SNOMEDCT_US_2015_03_01:362969004 ""endocrine disease""|SNOMEDCT_US_2015_03_01:127345001 ""endocrine disease""",DERMO:0000002|DERMO:0000107,,False
DERMO:0000623,apert syndrome,"an autosomal dominant inherited disorder caused by mutation in the FGFR2 gene. As well as skeletal malformations phenotypes can include hyperhidrosis, oily skin with severe acne and patches of missing hair in the eyebrows.",Acrocephalosyndactyly,"SNOMEDCT_US_2015_03_01:205258009 ""apert syndrome""|DERMLEX:3406 ""apert syndrome""|DOID:12960 ""apert syndrome""|OMIM:176943 ""apert syndrome""|RID:17906 ""APERT SYNDROME""|SNOMEDCT:268262006 ""Acrocephalosyndactyly""",DERMO:0000622,,False
DERMO:0000624,beare-stevenson cutis gyrata syndrome,,,"SNOMEDCT_US_2015_03_01:703528008 ""beare-stevenson cutis gyrata syndrome""|DERMLEX:3337 ""cutis gyrata syndrome of beare and stevenson""|DOID:0050660 ""beare-stevenson cutis gyrata syndrome""|OMIM:176943 ""beare-stevenson cutis gyrata syndrome""",DERMO:0000622,,False
DERMO:0000625,crouzon syndrome with acanthosis nigricans,,SADDAN|thanatophoric dysplasia,"SNOMEDCT_US_2015_03_01:702361006 ""crouzon syndrome with acanthosis nigricans""|DOID:13481 ""crouzon syndrome with acanthosis nigricans""|OMIM:134934 ""crouzon syndrome with acanthosis nigricans""",DERMO:0000622,,False
DERMO:0000626,oral-facial-digital syndrome type 1,,,,DERMO:0000622|DERMO:0003401,,False
DERMO:0000627,genodermatosis with prominent neurologic abnormalities,,,,DERMO:0000002,,False
DERMO:0000628,cockayne syndrome,,,"SNOMEDCT_US_2015_03_01:205832003 ""cockayne syndrome""|SNOMEDCT_US_2015_03_01:21086008 ""cockayne syndrome""|DERMLEX:3302 ""cockayne syndrome""|DOID:2962 ""cockayne syndrome""",DERMO:0000627|DERMO:0000644|DERMO:0002869,,False
DERMO:0000629,cockayne syndrome type A,,CSA,,DERMO:0000628,,False
DERMO:0000630,cockayne syndrome type B,,CSB,,DERMO:0000628,,False
DERMO:0000631,cold-induced sweating syndrome,"Impaired thermoregulation, abnormal sweating often in response to cold/low temperatures. There are characteristic facial anomalies.",,"SNOMEDCT_US_2015_03_01:702363009 ""cold-induced sweating syndrome""|OMIM:604237 ""cold-induced sweating syndrome""",DERMO:0000627|DERMO:0002556,,False
DERMO:0000632,erythromelalgia type 2,,idiopathic erythromelalgia|primary erythromelalgia,,DERMO:0000627|DERMO:0002055,,False
DERMO:0000633,familial dysautonomia,,"HSAN 3|neuropathy, hereditart, sensory and autonomic type 3|riley-day syndrome","SNOMEDCT_US_2015_03_01:204087006 ""familial dysautonomia""|SNOMEDCT_US_2015_03_01:29159009 ""familial dysautonomia""|DERMLEX:2942 ""familial dysautonomia""|DOID:11589 ""familial dysautonomia""",DERMO:0000627,,False
DERMO:0000634,insensitivity to pain with anhidrosis,congenital insensitivity to pain with anhidrosis is caused by homozygous or compound heterozygous mutation in the NTRK1 gene on chromosome 1q23,CIPA,OMIM:256800,DERMO:0000627|DERMO:0002577,,False
DERMO:0000635,familial primary localized cutaneous amyloidosis,,,"DOID:0050639 ""familial primary localized cutaneous amyloidosis""",DERMO:0000627|DERMO:0002647,,False
DERMO:0000636,inherited disorder due to defect in coagulation or platelet plugging,,,,DERMO:0000002,,False
DERMO:0000637,activated protein C resistance,,THPH2|thrombophilia due to activated protein C reistance,"SNOMEDCT_US_2015_03_01:421527008 ""activated protein c resistance""|HP:0012175 ""activated protein c resistance""",DERMO:0000636|DERMO:0003208,,False
DERMO:0000638,factor V deficiency,,,"SNOMEDCT_US_2015_03_01:191284007 ""factor v deficiency""|SNOMEDCT_US_2015_03_01:4320005 ""factor v deficiency""|DOID:2216 ""factor v deficiency""|HP:0003225 ""factor v deficiency""|OMIM:612309 ""factor v deficiency""",DERMO:0000636|DERMO:0003208,,False
DERMO:0000639,protein C deficiency,,,"SNOMEDCT_US_2015_03_01:76407009 ""protein c deficiency""|DOID:3756 ""protein c deficiency""|HP:0005543 ""protein c deficiency""",DERMO:0000636|DERMO:0003197,,False
DERMO:0000640,protein S deficiency,,,"SNOMEDCT_US_2015_03_01:1563006 ""protein s deficiency""|DOID:2451 ""protein s deficiency""|HP:0004855 ""protein s deficiency""",DERMO:0000636|DERMO:0003506,,False
DERMO:0000641,antithrombin III deficiency,,,"SNOMEDCT_US_2015_03_01:36351005 ""antithrombin iii deficiency""|DOID:3755 ""antithrombin iii deficiency""|HP:0001976 ""antithrombin iii deficiency""",DERMO:0000636|DERMO:0003208,,False
DERMO:0000642,hyperprothrombinemia,,,,DERMO:0000636|DERMO:0003208,,False
